date	title
2020.01.24	[]
2020.01.25	['[재밌는 박물관①] 아프지만 꼭 기억해야 할 역사를 찾아가다']
2020.01.26	[]
2020.01.27	[]
2020.01.28	"[""요거프레소, 달콤한 올해 첫 '원데이 클래스' 모집""]"
2020.01.29	[]
2020.01.30	"['제주항공, 에어카페 이용하고 호텔 숙박권 받자', '제주항공 ""에어카페 이용하고 호텔 숙박권 받자""', '[항공오늘] 한국항공서비스, 이스타항공과 MRO 계약 체결…티웨이항공, 24시간...', '제주항공, ""에어카페 이용하고 호텔 숙박권 받자""', '제주항공, 에어카페 이용하면 추첨 통해 호텔 숙박권 제공', '제주항공, 에어카페 이용 고객 호텔 숙박권 증정 프로모션 진행', '제주항공, 에어카페 이용하고 호텔 숙박권 받자!', '제주항공, 에어카페 구매 인증하면 호텔 숙박권 쏜다', '제주항공, 에어카페 구매 인증 시 호텔 숙박권 증정', '제주항공, 에어카페 이용 기내 프로모션 진행', '제주항공, ""에어카페 이용하고 호텔 숙박권 받자""', '제주항공 ""에어카페 이용하고 호텔 숙박권 받자""', '[항공오늘] 한국항공서비스, 이스타항공과 MRO 계약 체결…티웨이항공, 24시간...', '제주항공, ""에어카페 이용하고 호텔 숙박권 받자""', '제주항공, 에어카페 이용하면 추첨 통해 호텔 숙박권 제공', '제주항공, 에어카페 이용 고객 호텔 숙박권 증정 프로모션 진행', '제주항공, 에어카페 이용하고 호텔 숙박권 받자!', '제주항공, 에어카페 구매 인증하면 호텔 숙박권 쏜다', '제주항공, 에어카페 구매 인증 시 호텔 숙박권 증정', '제주항공, 에어카페 이용 기내 프로모션 진행', '제주항공, 에어카페 구매 인증 시 호텔 숙박권 증정', '제주항공, 에어카페 이용 기내 프로모션 진행', '제주항공, 에어카페 이용 기내 프로모션 진행', '제주항공, 에어카페 이용 기내 프로모션 진행', '제주항공, 에어카페 이용 기내 프로모션 진행', '제주항공, 에어카페 이용 기내 프로모션 진행', '제주항공, 에어카페 이용 기내 프로모션 진행', '제주항공, 에어카페 이용 기내 프로모션 진행', '제주항공, 에어카페 이용 기내 프로모션 진행']"
2020.01.31	"[""제주항공, '에어카페' 이용 고객 추첨해 호텔 숙박권 선물""]"
2020.02.01	[]
2020.02.02	[]
2020.02.03	['[여행알쓸신잡] `에어카페` 이용하고 호텔 숙박권 받으세요']
2020.02.04	['원주 감성 카페 BEST 4']
2020.02.05	"[""요거프레소, 인기는 SNS를 타고..브랜드 강점 살린 전략적인 '메뉴 개발'""]"
2020.02.06	[]
2020.02.07	"[""요거프레소, 현명한 '스낵바' 도입…카페 간편족 잡아 알짜 매출 더해""]"
2020.02.08	[]
2020.02.09	[]
2020.02.10	[]
2020.02.11	[]
2020.02.12	"[""커피 창업 카페 프랜차이즈 '감성커피', 유니크ㆍ뉴트로 통한 브랜드 차별성 ...""]"
2020.02.13	[]
2020.02.14	"[""요거프레소, 발렌타인데이 특별함을 더해줄 비주얼 甲 '초코' 메뉴 추천"", ""카페베네, 발렌타인&화이트데이 기념 '커플 룰렛' 이벤트"", ""카페베네, 밸런타인&화이트데이 기념 '커플 룰렛' 이벤트 진행"", ""카페베네, 밸런타인&화이트데이 기념 '커플 룰렛' 이벤트 진행"", ""카페베네, 밸런타인&화이트데이 기념 '커플 룰렛' 이벤트 진행"", ""카페베네, 밸런타인&화이트데이 기념 '커플 룰렛' 이벤트 진행"", ""카페베네, 밸런타인&화이트데이 기념 '커플 룰렛' 이벤트 진행"", ""카페베네, 밸런타인&화이트데이 기념 '커플 룰렛' 이벤트 진행"", ""카페베네, 밸런타인&화이트데이 기념 '커플 룰렛' 이벤트 진행"", ""카페베네, 밸런타인&화이트데이 기념 '커플 룰렛' 이벤트 진행"", ""카페베네, 밸런타인&화이트데이 기념 '커플 룰렛' 이벤트 진행"", ""카페베네, 밸런타인&화이트데이 기념 '커플 룰렛' 이벤트 진행""]"
2020.02.15	[]
2020.02.16	"['을지로 으슥한 뒷골목에 들어온 앙큼한 패션', ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락'오픈"", '코오롱FnC, 을지로에 멀티 플래그십 스토어 ‘을지다락’ 오픈', '코오롱FnC, 을지로에 멀티 플래그십 스토어', ""코오롱FnC, 멀티 플래그십 스토어 '을지다락' 오픈"", '코오롱FnC, 을지로에 멀티 플래그십 스토어 ‘을지다락’ 오픈', ""코오롱FnC, 멀티 플래그십 스토어 '을지다락'오픈…신규 기존 고객 모두 이끌..."", ""코오롱FnC, 힙지로에 멀티 플래그십스토어 '을지다락' 오픈"", '코오롱FnC, 을지로에 플래그십 스토어 ‘을지다락’오픈', ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈"", ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈"", ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈"", ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈"", ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈"", ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈"", ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈"", ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈"", ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈"", ""코오롱FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈""]"
2020.02.17	"[""코오롱FnC, 5개 브랜드 멀티스토어 '을지다락' 오픈"", '코오롱FnC, 을지로에 멀티 플래그십 스토어 ‘을지다락’ 오픈', ""'을지다락'에서 쌍화차 한잔 하세요"", ""코오롱FnC, 을지로에 멀티 플래그십스토어 '을지다락' 오픈"", '코오롱FnC, 멀티 플래그십 스토어 ‘을지다락’ 오픈', '카페베네, 룰렛 이벤트도 참여하고 특별한 선물도 받고!', '카페베네, 룰렛 이벤트도 참여하고 특별한 선물도 받고!', '카페베네, 룰렛 이벤트도 참여하고 특별한 선물도 받고!', '카페베네, 룰렛 이벤트도 참여하고 특별한 선물도 받고!', '카페베네, 룰렛 이벤트도 참여하고 특별한 선물도 받고!', '카페베네, 룰렛 이벤트도 참여하고 특별한 선물도 받고!', '카페베네, 룰렛 이벤트도 참여하고 특별한 선물도 받고!', '카페베네, 룰렛 이벤트도 참여하고 특별한 선물도 받고!', '카페베네, 룰렛 이벤트도 참여하고 특별한 선물도 받고!', '카페베네, 룰렛 이벤트도 참여하고 특별한 선물도 받고!']"
2020.02.18	"[""코오롱인더스트리FnC, 을지로에 멀티 플래그십 스토어 '을지다락' 오픈""]"
2020.02.19	[]
2020.02.20	"[""요거프레소, 바삭바삭 '추억의 달고나 버블라떼' ASMR…먹방 콘텐츠로 눈길"", '봄맞이 카페 신메뉴는? 퓨전 디저트부터 정통 커피까지', '카페베네, 봄 시즌 신메뉴 7종 출시', '카페베네, 봄 시즌 신메뉴 7종 출시', '이주의 New 핫플레이스 -코오롱FnC <을지다락>', '이주의 New 핫플레이스 -코오롱FnC <을지다락>', '이주의 New 핫플레이스 -코오롱FnC <을지다락>', '이주의 New 핫플레이스 -코오롱FnC <을지다락>', '이주의 New 핫플레이스 -코오롱FnC <을지다락>', '이주의 New 핫플레이스 -코오롱FnC <을지다락>', '이주의 New 핫플레이스 -코오롱FnC <을지다락>', '이주의 New 핫플레이스 -코오롱FnC <을지다락>', '이주의 New 핫플레이스 -코오롱FnC <을지다락>', '이주의 New 핫플레이스 -코오롱FnC <을지다락>']"
2020.02.21	[]
2020.02.22	[]
2020.02.23	[]
2020.02.24	"[""요거프레소, 인증샷 부르는 '추억의 달고나 라떼'…SNS 속 인기 증명"", '위클리 New 핫플레이…을지다락', '위클리 New 핫플레이…을지다락', '위클리 New 핫플레이…을지다락', '위클리 New 핫플레이…을지다락', '위클리 New 핫플레이…을지다락', '위클리 New 핫플레이…을지다락', '위클리 New 핫플레이…을지다락', '위클리 New 핫플레이…을지다락', '위클리 New 핫플레이…을지다락', '위클리 New 핫플레이…을지다락']"
2020.02.25	['카페베네, 봄 시즌 신메뉴 “다가올 나른한 봄, 맛있는 힘이 필요할 때!”']
2020.02.26	['초량 168계단 모노레일… 1분이면, 지친 여행객 발 아래 푸른 바다', '요거프레소 인천시청점, 창업 10년 차 우수가맹점…본사의 정직한 ‘메뉴 개발...', '요거프레소 인천시청점, 창업 10년 차 우수가맹점…본사의 정직한 ‘메뉴 개발...', '요거프레소 인천시청점, 창업 10년 차 우수가맹점…본사의 정직한 ‘메뉴 개발...', '요거프레소 인천시청점, 창업 10년 차 우수가맹점…본사의 정직한 ‘메뉴 개발...', '요거프레소 인천시청점, 창업 10년 차 우수가맹점…본사의 정직한 ‘메뉴 개발...', '요거프레소 인천시청점, 창업 10년 차 우수가맹점…본사의 정직한 ‘메뉴 개발...', '요거프레소 인천시청점, 창업 10년 차 우수가맹점…본사의 정직한 ‘메뉴 개발...', '요거프레소 인천시청점, 창업 10년 차 우수가맹점…본사의 정직한 ‘메뉴 개발...', '요거프레소 인천시청점, 창업 10년 차 우수가맹점…본사의 정직한 ‘메뉴 개발...', '요거프레소 인천시청점, 창업 10년 차 우수가맹점…본사의 정직한 ‘메뉴 개발...']
2020.02.27	[]
2020.02.28	"[""밀레니얼도 X세대도, 58년 개띠도 '오감만족'""]"
2020.02.29	[]
2020.03.01	[]
2020.03.02	"[""커피에반하다 '달고나커피' 인기몰이 중"", ""커피에반하다 '달고나커피' 인기 상승"", ""커피에반하다 '달고나커피' 인기 상승"", ""커피에반하다 '달고나커피' 인기 상승"", ""커피에반하다 '달고나커피' 인기 상승"", ""커피에반하다 '달고나커피' 인기 상승"", ""커피에반하다 '달고나커피' 인기 상승"", ""커피에반하다 '달고나커피' 인기 상승"", ""커피에반하다 '달고나커피' 인기 상승"", ""커피에반하다 '달고나커피' 인기 상승"", ""커피에반하다 '달고나커피' 인기 상승""]"
